product_id,product_name,Number_of_reviews,average_rating,price,best_use,material,length,width,depth,weight,cockpit_size,seat_type,number_of_paddlers,hatch_capacity,weight_capacity,tracking_system,foldable,packed_dims,sustainability
133189,Pelican Sentinel Sit-On-Top Kayak with Paddle,5,4.2,289.95,Flatwater Kayaking,Polyethylene,10 feet,30 inches,,43 pounds,,Padded / Foam,1-person,,300 pounds,None,,,
132391,Emotion Kayaks Spitfire 9 Sit-On-Top Kayak,13,4.3,309.93,Flatwater Kayaking,High-density polyethylene,9 feet,31 inches,,45 pounds,,Padded / Foam,1-person,Unavailable,350 pounds,None,,,
132249,Emotion Kayaks Revel 10 Kayak,2,4,349,Flatwater Kayaking,High-density polyethylene,10 ft. 3 in.,29.5 inches,14 inches,48 pounds,Unavailable,Padded / Foam,1-person,Unavailable,275 pounds,Retractable Skeg,,,
153352,"Pelican Premium Argo 136XP Tandem Kayak - 13' 6""",0,0,637.93,Flatwater Kayaking,RAM-X Premium polyethylene plastic,13 ft. 5 in.,31.75 inches,15 inches,67 pounds,102 x 26 inches,Padded / Foam,2-person,,500 pounds,None,,,
736947,Advanced Elements AdvancedFrame Convertible Tandem Inflatable Kayak,78,4.3,699,Flatwater Kayaking,PVC-coated polyester/aluminum,15 feet,32 inches,Unavailable,52 pounds,Unavailable,Padded / Foam,2-person,,550 pounds,Tracking Fin,,35 x 21 x 12 inches,
101133,Perception Access 9.5 Sit-On-Top Kayak with Paddle,22,4.7,429,Flatwater Kayaking,Polyethylene plastic,9 feet,31 inches,,50 pounds,,Padded / Foam,1-person,,250 pounds,None,,,
882572,Wilderness Systems Aspire 105 Kayak,11,4.7,829,Flatwater Kayaking,Rotomolded polyethylene,10 ft. 6 in.,29 inches,15.5 inches,48,51.5 x 23.5 inches,Padded / Foam,1-person,Unavailable,400 pounds,Retractable Skeg,,,
153310,Pelican Premium Sentinel 100XR Sit-On-Top Kayak - 10',2,4,399.93,Flatwater Kayaking,RAM-X Premium polyethylene plastic,10 feet,30.5 inches,,48 pounds,,Padded / Foam,1-person,,325 pounds,None,,,
153305,Pelican Premium Sprint 100XR Kayak - 10',4,4.5,467.93,Flatwater Kayaking,RAM-X Premium polyethylene,10 feet,28 inches,14 inches,41 pounds,50 x 23 inches,Padded / Foam,1-person,,300 pounds,None,,,
101134,Perception Pescador Pro 10.0 Sit-On-Top Kayak,17,4.1,599,"Flatwater Kayaking, Fishing",Polyethylene plastic,10 ft. 6 in.,32 inches,,57 pounds,,Mesh / Suspension,1-person,,325 pounds,None,,,
153306,Pelican Premium Sprint 120XR Kayak - 12',1,4,552.93,Flatwater Kayaking,RAM-X Premium polyethylene plastic,12 feet,28 inches,16 inches,51 pounds,50 x 23.3 inches,Padded / Foam,1-person,,325 pounds,None,,,
115664,Perception Pescador Pilot 12.0 Pedal Kayak,8,3.1,1439,"Fishing, Flatwater Kayaking",Polyethylene,12 ft. 5 in.,33.75 inches,,85 pounds,,Mesh / Suspension,1-person,Unavailable,525 pounds,Rudder,,,
116736,Oru Kayak Beach LT Folding Kayak,16,3.9,1299,Flatwater Kayaking,5mm double-layered polypropylene,12 feet,28 inches,Unavailable,26 pounds,62 x 22 inches,Padded / Foam,1-person,,300 pounds,None,Yes,33 x 12 x 29 inches,
144301,Wilderness Systems Pungo 120 Kayak,2,5,799,Flatwater Kayaking,Polyethylene,12 ft. 2 in.,29 inches,14 inches,49 pounds,57 x 22 inches,Padded / Foam,1-person,Unavailable,325 pounds,None,,,
867761,Delta Kayaks Delta 12.10 Kayak,12,4.8,1480,Flatwater Kayaking,Thermoformed ABS plastic,12 ft. 10 in.,25 inches,13.5 inches,41 pounds,32 x 17 inches,Padded / Foam,1-person,"(Bow) 2,795 / (stern) 6,999",300 pounds,None,,,
154360,Ocean Kayak Caper Sit-On-Top Kayak,0,0,489.93,Flatwater Kayaking,Rotomolded polyethylene plastic,11 feet,31 inches,,47 pounds,,Padded / Foam,1-person,,325 pounds,,,,
131656,Perception Pescador 12.0 Sit-On-Top Kayak,5,4.2,481.93,"Flatwater Kayaking, Fishing",Polyethylene,12 feet,32.5 inches,,64 pounds,,Padded / Foam,1-person,Unavailable,375 pounds,None,,,Contains recycled materials
115654,Dagger Stratos 14.5 L Kayak,4,5,1079,Sea Kayaking,Rotomolded polyethylene,14 ft. 6 in.,24.5 inches,Unavailable,57 pounds,36.25 x 19 inches,Padded / Foam,1-person,Unavailable,315,Retractable Skeg,,,
867763,Delta Kayaks Delta 14 Kayak,11,4.5,1995,Sea Kayaking,Thermoformed ABS plastic,14 feet,23.75 inches,13.25 inches,45 pounds,32 x 17 inches,Padded / Foam,1-person,"(Bow) 4,699 / (stern) 7,323 / (day hatch) 427 cubic inches",340 pounds,Rudder,,,
154441,Ocean Kayak Malibu 11.5 Sit-On-Top Kayak,4,3.3,649.95,Flatwater Kayaking,Rotomolded polyethylene plastic,11 ft. 6 in.,31 inches,,59 pounds,,Padded / Foam,1-person,,360 pounds,,,,
152700,STAR Raven I Inflatable Kayak,0,0,745,"Flatwater Kayaking, Whitewater Kayaking",PVC,9 ft. 10 in.,38 inches,,38 pounds,,Mesh / Suspension,1-person,,Unavailable,,,Unavailable,
116392,Aquaglide Blackfoot Angler 125 HB Inflatable Kayak,4,4.3,999.95,"Flatwater Kayaking, Fishing",Duratex PVC,12 ft. 8 in.,39 inches,Unavailable,38 lbs. 1.6 oz.,Unavailable,Padded / Foam,1-person,,600 pounds,Retractable Skeg,,Unavailable,
884934,Eddyline Skylark Kayak,9,4.8,1399,Flatwater Kayaking,Carbonlite ABS,12 feet,26 inches,13 inches,41 pounds,35 x 18.5 inches,Padded / Foam,1-person,"Bow: 3,110 ; stern: 2,074 cubic inches",295 pounds,None,,,
101136,Wilderness Systems Tarpon 135T Tandem Sit-On-Top Kayak,1,5,1159,Flatwater Kayaking,Polyethylene plastic,13 ft. 6 in.,34 inches,,88 pounds,,Padded / Foam,2-person,,600 pounds,None,,,
